bb_vertex,1,2,3,4,5,6
522,825.1509744324496,2180.9757234876456,1423.482143267247,1857.458730296709,1452.3048562169781,1343.2068018352352
563,918.5372480146119,2123.570165121088,1439.0424175916132,1467.2190024096042,1331.4945071276998,1359.1448881128345
957,873.637006501841,2066.533851515976,1463.8015673672915,1834.1285573662856,1415.3839195625612,1384.49414110904
1796,709.9465351415761,1933.7116510836993,1400.8313593464782,1532.602540162397,1194.0425466153747,1214.7182814585249
2967,781.246616654571,1990.7651493595702,1415.5861580557932,2043.5498931721704,1394.404853753647,1434.2897971498403
3180,840.6646287502017,2074.0390076392196,1510.84959226589,2347.7342392827913,1620.5682211905391,1516.0357202471757
3523,637.827681738628,1882.8689999977973,1433.131648428705,2104.237702820129,1380.0260395422597,1522.7855234830913
5013,846.4460656427457,1850.7444989717715,1482.520468146437,2289.0531182508257,1557.2219335207915,1360.7266963360362
5338,843.44314122864,1948.8520871976243,1463.4595641917315,2263.0678549523154,1532.5486402965657,1517.9540373787067
5393,938.7769688355841,1945.6015072556784,1399.0154450200212,2337.671162764057,1499.2631478934763,1585.742470815847
6188,987.3975003261044,2150.4245480195445,1718.0690516398809,2402.131483694598,1561.997788681749,1443.1051730268018
6277,1094.9030375836624,2169.091889397011,1580.2874852964906,2264.7803566554358,1465.8668773598838,1427.2939073446455
6875,1372.8930940899802,2379.4970711457977,1566.401711874291,1810.3883406747764,1715.4163295938556,1502.998219873228
7146,1020.4642898495265,2461.3300708591746,1420.3473122615214,1972.7227562998394,1594.2653921604756,1383.735390852082
7315,1068.3876454792237,2151.5432487363596,1477.5846692245775,1909.0526568550556,1568.6795799030372,1511.8292494648742
7574,718.9254810218531,1967.2656275383442,1573.196656182765,2443.6541723025575,1659.7359275553533,1538.6046181807594
7584,904.9440636086666,2061.9149805257193,1340.3718053639875,1488.4972333868232,1301.6441782185116,1276.251517880398
7648,972.001115768213,2274.9407067159023,1696.908304456105,2105.8556222095012,1701.2578624364185,1564.731491738791
7668,889.2941286873003,1826.5109556304458,1200.279116092271,1350.4971750736424,1148.5353566556748,1134.6068524618406
7781,921.9091403955415,2473.950280109765,1583.7181867116283,1922.885770820559,1432.4439468218482,1469.2149845117785
7813,980.8171439179628,2532.9250670749857,1699.075259740138,1412.6944746870042,1489.5572561882884,1386.853868291397
7997,1221.3723919738773,2505.0627219757116,1437.1380335533645,1265.7410934920506,1263.1247288643517,1084.708092127713
8214,986.8723855319149,2475.051655653974,1723.670568121237,2139.4286073853546,1752.7892491103914,1723.4170692020793
8226,760.4254315237242,2465.4525388858274,1696.3210863110817,2257.877339265422,1672.0080562042142,1482.0182478384688
9109,747.5954842131741,1950.6281455069893,1549.482949584024,2140.5341052444687,1572.864221594401,1383.382906796999
9170,1201.5252619504295,2798.1903431066326,1874.4655165603413,2558.6083336944193,1751.2955265060623,1727.695781236961
9511,1079.0685071835896,2967.6093812354948,2586.7017125029683,2795.8799722297767,2270.6131774072564,2051.2961810493803
9517,911.2217467582303,2202.7306998859763,1562.1440826353357,2100.8398733063136,1750.1315519089762,1539.7380166736373
11298,780.111098381202,2288.900117416481,1639.2856513945935,2060.7778993963284,1449.4570897951066,1527.2116887590896
11513,836.556298920912,2410.1634702868337,1655.8532214312104,2240.481593552609,1549.403935293185,1446.0608798978487
11557,940.9530366018729,2175.7241348868274,1572.9677030406374,2028.314412530293,1447.7662317144109,1326.3925683318603
11576,855.0474842964029,2772.8486290271903,1985.4249120260895,2477.1417703653638,2011.778103825381,1656.0374574051011
11752,974.7922314223949,2462.67765353343,1711.8862464460562,2501.203442476929,1780.2082120963132,1721.3343479045332
11870,1126.5755564463761,2933.965412072763,1945.1019791266608,2794.9172775825564,1862.3069760357785,1733.9464744232687
12051,919.0668819993239,2281.2175859426243,1669.8906019328533,2237.1291188231835,1623.6274308764498,1629.4904494536934
12343,1004.6894811802124,2251.089976501965,1613.2999694228258,2041.5517210824476,1499.8087084433105,1530.0526138704017
12469,1027.4303720725745,2341.347739585304,1765.0391938200787,2233.1579402039847,1793.277959141932,1528.786151137374
12512,896.9927071053812,2211.0477543933525,1503.9670807652378,2008.145463506414,1556.1878710970366,1476.7749638841037
12901,888.8272721190584,2538.456839430156,1590.3387961662295,2295.994095913697,1370.8786594882142,1341.0436495533297
13221,1052.4886549650394,2431.695913763543,1717.5658909345661,2127.719503033432,1587.3332800894498,1644.0034478917603
13480,1126.036628745915,3028.4674985680163,2338.3460984000026,2831.104446441009,1844.9545484271794,1946.929512985252
13605,989.9679341990357,2786.8787514573655,2498.1407157632157,2578.824974131638,2269.228186083299,1925.6755391064646
