cluster;Gene;avg_diff;power;Ex1;Ex2;Ex3;Ex4;Ex5;Ex6;Ex7;Ex8
Ex8;SYT10;2,12;0,67;0,01;0,05;0,02;0,02;0,00;0,01;0,02;0,02
Ex8;CLTCL1;2,26;0,66;0,00;0,00;0,01;0,01;0,04;0,07;0,01;0,13
Ex8;TRPC7;2,56;0,66;0,00;0,00;0,00;0,00;0,01;0,01;0,00;0,04
Ex8;GNG4;2,49;0,63;0,02;0,00;0,00;0,08;0,00;0,01;0,02;0,17
Ex8;MYO10;3,39;0,63;0,01;0,02;0,02;0,02;0,01;0,01;0,02;0,23
Ex8;RASSF3;2,40;0,62;0,01;0,06;0,04;0,05;0,02;0,00;0,01;0,17
Ex8;LRMDA;3,03;0,61;0,00;0,03;0,00;0,01;0,01;0,04;0,03;0,11
Ex8;RRBP1;2,75;0,59;0,01;0,01;0,03;0,02;0,01;0,01;0,01;0,15
Ex8;CDC14A;2,39;0,53;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,09
Ex8;LIMS1;2,49;0,51;0,01;0,03;0,03;0,03;0,02;0,02;0,02;0,09
Ex8;COL20A1;2,72;0,51;0,02;0,06;0,00;0,02;0,04;0,06;0,07;0,15
Ex8;HGF;2,81;0,51;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,15
Ex8;LTBP1;2,00;0,48;0,00;0,01;0,02;0,00;0,01;0,01;0,00;0,15
Ex8;GPR153;2,31;0,48;0,02;0,01;0,03;0,05;0,00;0,00;0,06;0,06
Ex8;FAM151B;2,46;0,47;0,04;0,01;0,02;0,01;0,02;0,04;0,02;0,02
Ex8;ATP10A;3,34;0,47;;;;;;;;
Ex8;RIN2;3,02;0,45;0,00;0,00;0,01;0,01;0,00;0,02;0,00;0,11
Ex8;PECAM1;2,74;0,44;;;;;;;;
Ex8;ADRA2A;2,73;0,42;0,02;0,00;0,03;0,01;0,04;0,06;0,00;0,21
Ex8;ANKRD13A;3,67;0,41;0,05;0,01;0,06;0,05;0,05;0,04;0,04;0,17
