bb_vertex,x,y,z
522,-53.60056523044477,29.0,6.384016302152304
563,-53.36881700413263,23.200000127156574,13.451562592662716
957,-51.834845069621224,28.399999618530273,8.137937082909048
1796,-47.220490707841236,27.200000762939453,16.92229149484774
2967,-38.69574608636807,-40.59999974568685,1.6812262177409139
3180,-39.49146737610863,-42.25,1.2176204899151344
3523,-37.639748081273865,-40.30000114440918,2.0606338208235684
5013,-29.71871802257374,-22.299999237060547,-7.325062195537612
5338,-29.399093307903968,-21.700000762939453,-7.247494638082571
5393,-28.11393261316698,-20.649999618530273,-7.860876773542259
6188,-23.089557542271603,-43.199999491373696,-4.664495296354289
6277,-22.66266829706808,-43.29999923706055,-6.569489537301706
6875,-18.243888964061625,63.20000076293945,-7.68981648873887
7146,-16.38087903498672,66.5,-10.579644706391264
7315,-17.082004198920913,62.900001525878906,-7.910405963979429
7574,-15.18663480844043,-55.59999942779541,15.868778234666024
7584,-10.580808273574803,-1.2999999523162842,50.26568860345287
7648,-13.579457652871497,-36.400001525878906,41.13141499008634
7668,-9.153507022710983,-2.8000000715255737,50.99781867430041
7781,-9.92559175673523,-0.10000000149011612,51.134827671863604
7813,-9.769202104672635,-6.799999872843425,48.3260247988898
7997,-7.737913141027093,1.100000023841858,51.892237517400645
8214,-11.308563693193719,74.9000015258789,1.4874497499549761
8226,-13.171584396681283,-36.099998474121094,40.95972094323952
9109,-5.378292381414212,65.9000015258789,-15.322159784962423
9170,-5.867744485207368,-44.94999885559082,19.258182060497347
9511,-3.5647348487909767,-42.70000076293945,8.278233279153937
9517,-5.157851470634341,64.0999984741211,-15.50767862435896
11298,0.5042652289266698,-36.400001525878906,41.54231117950985
11513,2.450518767034964,-31.899999618530273,44.410590312856584
11557,2.9710992652981076,-34.0,43.631670272006886
11576,2.664716356928693,-46.29999923706055,24.9948370368802
11752,2.167445521161426,-41.5,38.59761406783946
11870,3.9200760029489174,-46.29999923706055,24.281480221892707
12051,2.9801374351372942,-40.900001525878906,38.65339505474549
12343,3.6817445419728756,-32.20000076293945,44.4910840857774
12469,8.286904970067553,68.0,-18.717924043245148
12512,6.791539163852576,-41.20000076293945,38.66025692119729
12901,9.874881831608946,-50.79999923706055,25.4390078803699
13221,11.647964729084833,-49.900001525878906,24.775726800209668
13480,14.651984964730218,-63.70000076293945,6.835434129578061
13605,13.356948037544498,-60.400001525878906,7.272213304953766
13608,14.490435034942493,-65.20000076293945,8.46085458926973
13632,13.359560619108379,-50.79999923706055,24.407755300344434
13745,13.443603857929702,-58.29999923706055,4.5995308271521935
13762,16.19470255926717,73.4000015258789,1.7204987579825683
13883,16.92951172607718,-52.900001525878906,21.940295819891617
13954,15.742382627620827,68.30000305175781,-13.739136165939271
14292,18.141197989083594,70.69999694824219,-12.627792922547087
14564,19.547260895626096,-64.75,1.1830268500198144
14635,21.635658767540008,-58.75,17.68591708765598
14659,19.047997541551013,-53.5,23.14419081027154
14716,20.970017673040275,73.0999984741211,-3.9438286034564953
15069,22.432239155546995,-54.400001525878906,21.682251579069998
15115,22.360104186052922,-58.900001525878906,16.980892068706453
15281,24.327158931759186,-54.400001525878906,20.73770813504234
16039,29.33993214039947,-24.100000381469727,-5.684333926037652
16062,28.393275285234267,-61.0,12.841188470105408
16082,29.215834313701635,-20.799999237060547,-6.2950270778965205
16107,29.539490430033766,-27.700000762939453,-2.21889366582036
16227,30.093724297796143,-35.5,-4.988338194496464
16316,29.375438999850303,-31.600000381469727,-5.371128789149225
16386,30.591266260687917,-33.70000076293945,-5.062530048271583
16485,30.81255344010424,-24.700000762939453,-3.8714779579022434
16491,30.4562355853753,-32.60000038146973,-4.091311680478005
16515,30.852287817077013,-23.5,-4.417860558256507
17669,39.25141033588443,-10.899999618530273,-16.922093511078856
17887,39.89510966893067,-10.899999618530273,-16.918394976761192
18168,41.04448324482655,-20.5,-13.908952946483623
18303,42.702506646863185,-33.70000076293945,6.414490102673881
18305,42.9262505400111,-37.900001525878906,7.621568172238767
18470,40.84562698320224,-11.199999809265137,-17.3027282137773
18501,42.64385840302566,-20.799999237060547,-10.619247432448901
18514,42.05095373641234,-23.5,-8.97379588324111
18634,44.53805165938684,-10.0,-17.378952445986215
18694,43.104535220656544,29.0,10.303966317209415
18962,46.31667767476756,-37.29999923706055,9.090263075311668
19033,44.90377350267954,29.600000381469727,9.125324954045936
19325,46.6116943898669,-13.0,-16.467274516646285
19401,48.115159581415355,33.5,16.72091136156814
