parc,x,y,z,bb_vertex
7Networks_LH_Cont_PFCl_7,-47.220490707841236,27.200000762939453,16.92229149484774,1796.0
7Networks_LH_Default_PFC_11,-11.308563693193719,74.9000015258789,1.4874497499549761,8214.0
7Networks_LH_DorsAttn_Post_13,-13.37552102477639,-36.25,41.04556796666293,7937.0
7Networks_LH_DorsAttn_Post_3,-38.69574608636807,-40.59999974568685,1.6812262177409139,2967.0
7Networks_LH_DorsAttn_PrCv_1,-51.834845069621224,28.399999618530273,8.137937082909048,957.0
7Networks_LH_DorsAttn_PrCv_2,-53.36881700413263,23.200000127156574,13.451562592662716,563.0
7Networks_LH_Limbic_OFC_5,-12.448583210003562,64.52000045776367,-11.401941113686188,7992.4
7Networks_LH_SalVentAttn_FrOperIns_9,-53.60056523044477,29.0,6.384016302152304,522.0
7Networks_LH_SomMot_32,-9.461354563691808,-4.799999972184499,49.661921736595104,7740.5
7Networks_LH_SomMot_33,-9.414771057112375,-0.09999997665484746,51.09758459757237,7787.333333333333
7Networks_LH_Vis_10,-29.399093307903968,-21.700000762939453,-7.247494638082571,5338.0
7Networks_LH_Vis_17,-37.639748081273865,-40.30000114440918,2.0606338208235684,3523.0
7Networks_LH_Vis_21,-3.5647348487909767,-42.70000076293945,8.278233279153937,9511.0
7Networks_LH_Vis_25,-5.867744485207368,-44.94999885559082,19.258182060497347,9170.0
7Networks_LH_Vis_27,-15.18663480844043,-55.59999942779541,15.868778234666024,7574.0
7Networks_LH_Vis_4,-28.648861082969233,-21.1999994913737,-7.6822719142073765,5266.333333333333
7Networks_LH_Vis_5,-22.98283523097072,-43.22499942779541,-5.140743856591143,6210.25
7Networks_LH_Vis_8,-39.49146737610863,-42.25,1.2176204899151344,3180.0
7Networks_RH_Cont_PFCl_3,19.555607831061934,71.89999771118164,-8.285810763001791,14504.0
7Networks_RH_Default_PFCdPFCm_5,16.19470255926717,73.4000015258789,1.7204987579825683,13762.0
7Networks_RH_DorsAttn_Post_1,42.347406069719,-22.149999618530273,-9.796521657845005,18507.5
7Networks_RH_DorsAttn_Post_12,2.888470335335228,-32.5,44.235983745874364,11731.5
7Networks_RH_DorsAttn_Post_15,1.88394939507513,-39.6000010172526,39.5977734340316,11700.333333333334
7Networks_RH_DorsAttn_Post_7,6.791539163852576,-41.20000076293945,38.66025692119729,12512.0
7Networks_RH_Limbic_OFC_6,12.01464379884419,68.1500015258789,-16.22853010459221,13211.5
7Networks_RH_SalVentAttn_FrOperIns_8,44.807000881351996,30.27500009536743,11.613542237508227,18955.5
7Networks_RH_Vis_1,43.184519869503546,-11.285714149475098,-16.976524375268905,18563.428571428572
7Networks_RH_Vis_13,19.547260895626096,-64.75,1.1830268500198144,14564.0
7Networks_RH_Vis_15,14.202039571424914,-63.314286368233816,7.507228088394705,13608.857142857143
7Networks_RH_Vis_16,43.98181162054728,-36.300000508626304,7.708773783408105,18523.333333333332
7Networks_RH_Vis_18,28.393275285234267,-61.0,12.841188470105408,16062.0
7Networks_RH_Vis_21,21.877140573710978,-58.800000508626304,17.45090874800614,14795.0
7Networks_RH_Vis_25,3.2923961799388053,-46.29999923706055,24.638158629386453,11723.0
7Networks_RH_Vis_26,20.684226838733593,-53.80000114440918,21.876111586068873,14723.0
7Networks_RH_Vis_29,11.627469059934052,-50.5,24.874163326974667,13251.333333333334
7Networks_RH_Vis_3,41.04448324482655,-20.5,-13.908952946483623,18168.0
7Networks_RH_Vis_5,29.912107970336365,-23.440000152587892,-5.190606689226115,16232.0
7Networks_RH_Vis_6,30.194986625647743,-32.50000047683716,-4.372169473430404,16361.875
