parcel,0
L0,158745
L1,69822
L10,92112
L100,139599
L101,145818
L102,146510
L103,43808
L104,43632
L105,144860
L106,139922
L107,36648
L108,145009
L109,144107
L11,92781
L110,36109
L111,44086
L112,143487
L113,140822
L114,43723
L115,31259
L116,121741
L117,125078
L118,121470
L119,30592
L12,92812
L120,7444
L121,28928
L122,71035
L123,4432
L124,68480
L125,110646
L126,28278
L127,19469
L128,94247
L129,94492
L13,89997
L130,94077
L131,89147
L132,93711
L133,95191
L134,23641
L135,95770
L136,22274
L137,94995
L138,98974
L139,50078
L14,90244
L140,55170
L141,60591
L142,60547
L143,29803
L144,119677
L145,105969
L146,103381
L147,78949
L148,76805
L149,73201
L15,92427
L150,75223
L151,68792
L152,76775
L153,298
L154,75668
L155,75783
L156,73791
L157,82248
L158,81771
L159,78510
L16,24022
L160,1272
L161,79637
L162,73367
L163,72356
L164,76566
L165,113762
L166,114475
L167,28890
L168,68426
L169,59595
L17,93023
L170,15028
L171,82338
L172,117844
L173,143785
L174,36015
L175,143642
L176,140053
L177,147066
L178,125207
L179,503
L18,95591
L180,124368
L181,63194
L182,59984
L183,3588
L184,63789
L185,58550
L186,57902
L187,63099
L188,64000
L189,15977
L19,94821
L190,63073
L191,15271
L192,64639
L193,64518
L194,61082
L195,39911
L196,62678
L197,64041
L198,64842
L199,59458
L2,69341
L20,92933
L200,147747
L201,37083
L202,53999
L203,149711
L204,14368
L205,54669
L206,54913
L207,58867
L208,148003
L209,56822
L21,138441
L210,14583
L211,14620
L212,147352
L213,56580
L214,58082
L215,148120
L216,147878
L217,147405
L218,149217
L219,36749
L22,23383
L220,146289
L221,146117
L222,107586
L223,110581
L224,111706
L225,113106
L226,115402
L227,28496
L228,114098
L229,116474
L23,138630
L230,19485
L231,80102
L232,41050
L233,77832
L234,47269
L235,10274
L236,3034
L237,89683
L238,88613
L239,89398
L24,55293
L240,89765
L241,90076
L242,88323
L243,77261
L244,12967
L245,50329
L246,52000
L247,52391
L248,57130
L249,14400
L25,67741
L250,57218
L251,77063
L252,12000
L253,48946
L254,3215
L255,48306
L256,50795
L257,12552
L258,51336
L259,106561
L26,29548
L260,71918
L261,71507
L262,72230
L263,83052
L264,1279
L265,117070
L266,123662
L267,30820
L268,123440
L269,117517
L27,119387
L270,7373
L271,124033
L272,52884
L273,34892
L274,139107
L275,144806
L276,21493
L277,87598
L278,34098
L279,136340
L28,118847
L280,24587
L281,98209
L282,93530
L283,93841
L284,26668
L285,106649
L286,79564
L287,80375
L288,91784
L289,22875
L29,30099
L290,91267
L291,85645
L292,104521
L293,106394
L294,104297
L295,82817
L296,80933
L297,20216
L298,20184
L299,101619
L3,67576
L30,119910
L300,1579
L301,126360
L302,98828
L303,31589
L304,99017
L305,99172
L306,1570
L307,96374
L308,7784
L309,7891
L31,30142
L310,126178
L311,100994
L312,126160
L313,100342
L314,100141
L315,125348
L316,34466
L317,149480
L318,143134
L319,37265
L32,29875
L320,141272
L321,138074
L322,138914
L323,137978
L324,138142
L325,142462
L326,144056
L327,141841
L328,149010
L329,27062
L33,118677
L330,102182
L331,105621
L332,108769
L333,99656
L334,101290
L335,102417
L336,25582
L337,30860
L338,105409
L339,99931
L34,109254
L340,108106
L341,24527
L342,101800
L343,111055
L344,123706
L345,101568
L346,31039
L347,1766
L348,105253
L349,105493
L35,102671
L350,25002
L351,27098
L352,24403
L353,104319
L354,117331
L355,100407
L356,116713
L357,100591
L358,100490
L359,83861
L36,110215
L360,6089
L361,83456
L362,107696
L363,97512
L364,84102
L365,116744
L366,100176
L367,83768
L368,97093
L369,84322
L37,67201
L370,96599
L371,84267
L372,20838
L373,107175
L374,97402
L375,20904
L376,22943
L377,21347
L378,84601
L379,84580
L38,66968
L380,1315
L381,84694
L382,85189
L383,87791
L384,101914
L385,85458
L386,87891
L387,5110
L388,5411
L389,88189
L39,17709
L390,20277
L391,86137
L392,85944
L393,86200
L394,21745
L395,101126
L396,21646
L397,21773
L398,101407
L399,110796
L4,68292
L40,68988
L400,110706
L401,41120
L402,87092
L403,45949
L404,48062
L405,44648
L406,50681
L407,3183
L408,42560
L409,44768
L41,16730
L410,52051
L411,41321
L412,42233
L413,87252
L414,2632
L415,10582
L416,44207
L417,41697
L418,48463
L419,45032
L42,107308
L420,106691
L421,83549
L422,45824
L423,52686
L424,52916
L425,3354
L426,46519
L427,44490
L428,11771
L429,46582
L43,103088
L430,45020
L431,11318
L432,45300
L433,44891
L434,43463
L435,145236
L436,162499
L437,153179
L438,152899
L439,155358
L44,79202
L440,39849
L441,38935
L442,155699
L443,157244
L444,152384
L445,156415
L446,38765
L447,124163
L448,30381
L449,127290
L45,104076
L450,127833
L451,131367
L452,125806
L453,131594
L454,130269
L455,135177
L456,132329
L457,137181
L458,132739
L459,132633
L46,17877
L460,136892
L461,33293
L462,33519
L463,126615
L464,33572
L465,157711
L466,136590
L467,133360
L468,141763
L469,156681
L47,103779
L470,151517
L471,8455
L472,9480
L473,141472
L474,125961
L475,150141
L476,151207
L477,148429
L478,150551
L479,150058
L48,6884
L480,31801
L481,129213
L482,135554
L483,32447
L484,135292
L485,130121
L486,159273
L487,38057
L488,163139
L489,153891
L49,108901
L490,128565
L491,154651
L492,130500
L493,154430
L494,8208
L495,156239
L496,157005
L497,137712
L498,137436
L499,142077
L5,1736
L50,102947
L500,34175
L51,110104
L52,109950
L53,109063
L54,82752
L55,81227
L56,81940
L57,79311
L58,71196
L59,113595
L6,112181
L60,61813
L61,62102
L62,159786
L63,61300
L64,62279
L65,114354
L66,115041
L67,66097
L68,66008
L69,114880
L7,95813
L70,66676
L71,16600
L72,65891
L73,18725
L74,49853
L75,55069
L76,49316
L77,18614
L78,49289
L79,56066
L8,139008
L80,55881
L81,55768
L82,76947
L83,18541
L84,152583
L85,37967
L86,163070
L87,7601
L88,163412
L89,7718
L9,94164
L90,122999
L91,46285
L92,53531
L93,54598
L94,139262
L95,42997
L96,35194
L97,43133
L98,139737
L99,53466
