parcel,0
R0,157824
R1,69438
R10,93845
R100,43310
R101,43183
R102,2710
R103,44497
R104,714
R105,47014
R106,35184
R107,139581
R108,145495
R109,46678
R11,91936
R110,144329
R111,46275
R112,140985
R113,45643
R114,11371
R115,121492
R116,120803
R117,122154
R118,121024
R119,121361
R12,92155
R120,116248
R121,116065
R122,70881
R123,17184
R124,4647
R125,113271
R126,28633
R127,19266
R128,94975
R129,93641
R13,88809
R130,91449
R131,90856
R132,98091
R133,98222
R134,91801
R135,98677
R136,90748
R137,98400
R138,99166
R139,49585
R14,89099
R140,50035
R141,59636
R142,56065
R143,162875
R144,162927
R145,112512
R146,26501
R147,19566
R148,76518
R149,19036
R15,92760
R150,18871
R151,73543
R152,76733
R153,75700
R154,75944
R155,75765
R156,76402
R157,81369
R158,79285
R159,72288
R16,95260
R160,81544
R161,78687
R162,73117
R163,75474
R164,18804
R165,114832
R166,40015
R167,160379
R168,18687
R169,49289
R17,94410
R170,55419
R171,104239
R172,119952
R173,145066
R174,142939
R175,35760
R176,140595
R177,140067
R178,124548
R179,125075
R18,95597
R180,122340
R181,15053
R182,67702
R183,54038
R184,63613
R185,57667
R186,57586
R187,60604
R188,63465
R189,60915
R19,5952
R190,64435
R191,15279
R192,64425
R193,58662
R194,3550
R195,16228
R196,16210
R197,65117
R198,65023
R199,3659
R2,69406
R20,94544
R200,147320
R201,149350
R202,837
R203,36744
R204,56948
R205,53795
R206,13585
R207,3567
R208,146085
R209,57385
R21,95491
R210,56596
R211,54871
R212,145995
R213,54461
R214,36528
R215,149272
R216,146318
R217,146044
R218,146464
R219,139851
R22,93233
R220,145834
R221,13400
R222,111274
R223,7033
R224,115357
R225,114109
R226,115920
R227,114987
R228,115192
R229,116032
R23,34675
R230,20015
R231,80404
R232,80848
R233,20183
R234,80634
R235,80325
R236,19536
R237,85426
R238,84968
R239,87406
R24,54972
R240,85715
R241,88819
R242,84898
R243,77691
R244,51310
R245,51712
R246,50389
R247,52277
R248,53910
R249,14319
R25,73963
R250,877
R251,19455
R252,19505
R253,50888
R254,47651
R255,47467
R256,48324
R257,51466
R258,48500
R259,110486
R26,120548
R260,17973
R261,72333
R262,18298
R263,6580
R264,82394
R265,7393
R266,122701
R267,117940
R268,30460
R269,29852
R27,119783
R270,118799
R271,122959
R272,13011
R273,92346
R274,92578
R275,8738
R276,22675
R277,85019
R278,135553
R279,2155
R28,119554
R280,25240
R281,99237
R282,96992
R283,91567
R284,107482
R285,27637
R286,103985
R287,82039
R288,100004
R289,97452
R29,120727
R290,90685
R291,22636
R292,26908
R293,105816
R294,26717
R295,106322
R296,81492
R297,20600
R298,81832
R299,123784
R3,67469
R30,119873
R300,124129
R301,125477
R302,99491
R303,124907
R304,404
R305,126115
R306,126468
R307,127155
R308,124746
R309,125229
R31,163298
R310,123845
R311,101683
R312,31412
R313,100973
R314,100598
R315,125134
R316,137877
R317,146990
R318,143012
R319,146788
R32,118299
R320,141232
R321,34646
R322,139024
R323,138241
R324,139088
R325,9078
R326,144651
R327,143821
R328,147047
R329,110836
R33,29145
R330,123062
R331,108015
R332,117275
R333,102380
R334,123292
R335,122722
R336,123526
R337,29516
R338,108185
R339,123377
R34,112851
R340,110979
R341,101938
R342,7731
R343,118701
R344,122643
R345,30958
R346,122863
R347,118480
R348,107903
R349,101311
R35,71217
R350,25597
R351,110757
R352,6374
R353,106975
R354,119024
R355,25524
R356,29673
R357,25493
R358,101242
R359,107064
R36,68940
R360,99640
R361,107006
R362,108410
R363,99829
R364,105706
R365,118131
R366,100792
R367,105384
R368,25013
R369,105623
R37,66761
R370,97762
R371,24484
R372,26324
R373,27220
R374,97572
R375,105183
R376,100490
R377,105348
R378,105244
R379,97493
R38,65999
R380,20803
R381,105124
R382,104774
R383,83490
R384,116923
R385,90331
R386,84060
R387,83586
R388,83132
R389,84122
R39,69702
R390,82336
R391,83371
R392,83148
R393,20262
R394,83167
R395,102560
R396,81091
R397,85823
R398,1953
R399,29207
R4,4291
R40,4189
R400,111640
R401,86186
R402,87778
R403,87459
R404,86269
R405,41826
R406,48560
R407,48399
R408,10433
R409,10580
R41,15366
R410,41671
R411,85918
R412,86047
R413,87851
R414,86705
R415,86568
R416,88228
R417,86507
R418,41180
R419,87103
R42,111468
R420,27073
R421,104589
R422,87645
R423,44647
R424,52047
R425,42802
R426,88944
R427,88494
R428,89756
R429,89231
R43,25955
R430,88738
R431,10638
R432,22381
R433,44242
R434,45001
R435,92379
R436,152193
R437,9405
R438,148344
R439,154922
R44,102997
R440,152673
R441,156563
R442,153169
R443,39312
R444,152909
R445,9454
R446,150150
R447,127673
R448,511
R449,128202
R45,109521
R450,8218
R451,131125
R452,124187
R453,32932
R454,33800
R455,135175
R456,132324
R457,135721
R458,132497
R459,133201
R46,1121
R460,34401
R461,132951
R462,134054
R463,125935
R464,34279
R465,33393
R466,136706
R467,141761
R468,35647
R469,37784
R47,27359
R470,141522
R471,136463
R472,150537
R473,142040
R474,128981
R475,149016
R476,37630
R477,9387
R478,148721
R479,148826
R48,1774
R480,129130
R481,129748
R482,129238
R483,131559
R484,129856
R485,8174
R486,152719
R487,152036
R488,155312
R489,153586
R49,109944
R490,130302
R491,156710
R492,156860
R493,155581
R494,132827
R495,157382
R496,157697
R497,136120
R498,137784
R499,142273
R5,113466
R50,27309
R500,138057
R51,113650
R52,68895
R53,70532
R54,106358
R55,25906
R56,103178
R57,103585
R58,17747
R59,65955
R6,114208
R60,62540
R61,15541
R62,62631
R63,4000
R64,63958
R65,61665
R66,159910
R67,61762
R68,3930
R69,61916
R7,24144
R70,15570
R71,15399
R72,62007
R73,76411
R74,49133
R75,50192
R76,49477
R77,48834
R78,49670
R79,55831
R8,93205
R80,50115
R81,55225
R82,77420
R83,48866
R84,37058
R85,37051
R86,10164
R87,38589
R88,162408
R89,120017
R9,1488
R90,30468
R91,46443
R92,52650
R93,53498
R94,23288
R95,42865
R96,11008
R97,43388
R98,43974
R99,43531
