bb_vertex,1,2,3,4,5,6
522,34.532711029052734,52.56756591796875,62.71548843383789,52.75853729248047,60.697776794433594,60.30978012084961
563,36.05490239461263,58.959171295166016,65.2063585917155,60.490196228027344,63.22372563680013,56.921146392822266
957,37.91825485229492,56.9832649230957,68.44371795654297,64.20088958740234,66.32398986816406,63.9365234375
1796,33.172508239746094,50.09452819824219,61.588375091552734,56.58021926879883,59.58761215209961,49.82324981689453
2967,35.890750885009766,50.789546966552734,56.86102803548177,48.956461588541664,55.672341664632164,51.809861501057945
3180,35.18422508239746,44.585941314697266,54.91139221191406,42.43696975708008,55.03506278991699,49.777706146240234
3523,32.7062931060791,46.37458610534668,51.41360282897949,42.82876777648926,52.16897201538086,46.98452186584473
5013,31.52903175354004,47.36416244506836,54.65169143676758,43.40751266479492,58.2369270324707,52.77658462524414
5338,36.54121780395508,49.54838562011719,56.50583267211914,46.35498809814453,63.947654724121094,61.52842330932617
5393,35.54458045959473,53.51284599304199,63.41303825378418,49.718515396118164,67.55627822875977,55.14870834350586
6188,30.292853037516277,42.354122161865234,50.68582026163737,40.27939987182617,52.618279774983726,52.456844329833984
6277,37.213165283203125,45.154579162597656,50.377655029296875,39.376014709472656,47.237876892089844,50.86881637573242
6875,40.260868072509766,50.81544876098633,66.76454162597656,55.650001525878906,62.65388870239258,63.08842849731445
7146,39.12080383300781,50.507659912109375,68.53490447998047,56.5731086730957,62.60134506225586,60.89708709716797
7315,39.39912414550781,49.30958938598633,63.27033233642578,54.17499923706055,61.898773193359375,55.21686935424805
7574,35.08075666427612,44.210015296936035,59.28576469421387,47.202128410339355,57.98979091644287,59.177207946777344
7584,34.63278579711914,43.67091751098633,55.51525115966797,60.79365158081055,59.370540618896484,53.35034942626953
7648,33.63346481323242,44.82432556152344,53.041011810302734,44.94166564941406,54.04313278198242,46.561126708984375
7668,33.45389620463053,39.01604715983073,53.21920267740885,47.56023661295573,58.256103515625,53.64698028564453
7781,32.75438690185547,44.6466178894043,54.558204650878906,45.31111145019531,56.20853805541992,47.5
7813,30.608679453531902,38.75250116984049,50.992513020833336,45.81706428527832,54.316446940104164,49.30988438924154
7997,31.74944496154785,41.15250015258789,53.866783142089844,49.6929817199707,55.75055694580078,50.68077087402344
8214,35.53535461425781,44.389610290527344,58.23017883300781,49.1593132019043,60.83220672607422,48.63584899902344
8226,29.072114944458008,39.14463806152344,53.118255615234375,42.64767837524414,51.82698440551758,47.3905029296875
9109,30.587444305419922,45.79358673095703,60.851261138916016,50.47340393066406,61.17897033691406,58.769649505615234
9170,32.26347255706787,47.162038803100586,52.93906593322754,41.389469146728516,49.42657470703125,37.12186813354492
9511,34.22026443481445,47.12688064575195,50.585411071777344,41.61963653564453,46.28313064575195,51.1929817199707
9517,37.99361038208008,48.22555160522461,61.79497146606445,53.96812057495117,62.02912521362305,59.634483337402344
11298,33.60474395751953,45.51115417480469,55.46822738647461,48.158077239990234,57.35834503173828,43.67927932739258
11513,26.299156188964844,43.10080909729004,55.33074760437012,46.860076904296875,58.67251014709473,56.91583442687988
11557,39.661224365234375,49.98952865600586,61.7329216003418,53.60068130493164,64.58980560302734,63.21931457519531
11576,34.07692337036133,43.295326232910156,49.96721267700195,39.82143020629883,47.337989807128906,43.21958541870117
11752,31.654321670532227,43.3770751953125,57.58834457397461,43.98835372924805,56.81732940673828,53.765625
11870,31.93277359008789,41.596282958984375,51.48828887939453,42.54045867919922,48.65241622924805,37.890411376953125
12051,32.230770111083984,47.146697998046875,58.36664581298828,48.044883728027344,57.8910026550293,58.49868392944336
12343,29.344444274902344,45.8127326965332,56.561119079589844,47.36543273925781,58.762813568115234,56.34680938720703
12469,34.602272033691406,47.67314529418945,62.70980453491211,48.69723129272461,69.2703857421875,60.9650764465332
12512,35.14706039428711,48.30669021606445,56.83030700683594,48.45274353027344,54.71788787841797,49.51225662231445
12901,34.38261032104492,45.77737045288086,55.35301971435547,46.79703140258789,52.44422149658203,52.54534149169922
13221,34.72934341430664,44.96642303466797,56.841861724853516,46.19047546386719,54.646751403808594,44.54484176635742
13480,33.9727897644043,43.445945739746094,46.054752349853516,40.58937072753906,50.119781494140625,49.12743377685547
13605,35.90234375,50.95488739013672,49.81828689575195,47.44629669189453,46.886451721191406,51.93358612060547
13608,32.7369499206543,45.24277591705322,46.958922386169434,40.91584873199463,45.95963954925537,50.95311164855957
13632,34.8441047668457,45.83794403076172,57.583274841308594,44.859375,54.57828140258789,54.751365661621094
13745,30.51228141784668,44.60039520263672,44.9445915222168,36.921024322509766,40.77692413330078,47.941993713378906
13762,33.424354553222656,45.00785827636719,58.72688674926758,45.925724029541016,64.69313049316406,56.550846099853516
13883,32.685054779052734,44.714439392089844,53.02702713012695,40.16428756713867,52.116580963134766,47.14253234863281
13954,35.28969192504883,44.1860466003418,58.251094818115234,49.826316833496094,62.64412307739258,60.3736572265625
14292,35.369564056396484,46.240989685058594,57.651981353759766,50.1466064453125,60.371891021728516,63.75373840332031
14564,33.300381660461426,48.988216400146484,50.02190017700195,41.02116394042969,48.666704177856445,51.68686866760254
14635,28.461307525634766,39.76921844482422,48.94751167297363,39.56800079345703,46.54907989501953,48.655935287475586
14659,36.46198654174805,46.5487060546875,54.10514831542969,38.52744674682617,53.498146057128906,54.50722885131836
14716,34.656490325927734,43.58409881591797,58.03742599487305,49.28125,62.33633804321289,59.10324478149414
15069,39.76754379272461,51.2448616027832,61.536460876464844,46.281105041503906,57.76567077636719,59.420372009277344
15115,27.5049991607666,43.11803436279297,49.087921142578125,38.90257263183594,47.913352966308594,49.60183334350586
15281,37.73777770996094,50.060272216796875,62.04568862915039,49.628379821777344,61.471824645996094,61.02671813964844
16039,35.2702579498291,48.98681449890137,58.46540832519531,42.76144790649414,56.31414794921875,56.30270957946777
16062,30.67361068725586,42.271419525146484,50.19104194641113,37.72000694274902,50.80851364135742,47.73740196228027
16082,35.982906341552734,47.22222137451172,57.5678825378418,43.02564239501953,60.836612701416016,53.881324768066406
16107,37.980770111083984,50.21867370605469,59.88754653930664,45.8126106262207,55.686729431152344,51.52010726928711
16227,34.00806427001953,48.1274528503418,52.627315521240234,40.86653518676758,51.530548095703125,46.46022415161133
16316,34.45525360107422,43.359466552734375,53.166385650634766,40.31374740600586,52.9217529296875,51.50345993041992
16386,35.76295471191406,48.2700080871582,57.74113655090332,44.19345664978027,54.86064529418945,56.42584037780762
16485,38.24242401123047,50.0286979675293,60.59253692626953,43.62784194946289,56.57513427734375,56.30843734741211
16491,32.02534929911295,48.788455963134766,54.7993049621582,43.08794403076172,54.14430618286133,52.1339111328125
16515,34.77705001831055,54.381038665771484,59.766883850097656,43.63055419921875,57.79130554199219,56.24074172973633
17669,35.36742401123047,54.325042724609375,56.98294448852539,47.68739318847656,62.769718170166016,57.415283203125
17887,36.3674430847168,51.308616638183594,56.055694580078125,46.45500183105469,61.94001770019531,56.949188232421875
18168,31.960351943969727,45.25305938720703,53.02534484863281,40.56584548950195,53.54716873168945,49.44566345214844
18303,34.77280807495117,47.71329116821289,56.67182159423828,46.379119873046875,54.82942199707031,51.75609588623047
18305,33.989131927490234,48.458740234375,55.08843231201172,45.33333206176758,55.698570251464844,49.06035614013672
18470,35.917762756347656,49.97624206542969,56.70408248901367,46.558509826660156,65.49835968017578,63.461273193359375
18501,37.51421356201172,46.890071868896484,59.89067077636719,48.043880462646484,59.04878234863281,54.60792922973633
18514,36.14468002319336,49.28099060058594,58.41446304321289,50.5,60.526119232177734,55.726688385009766
18634,39.35279083251953,47.789785385131836,57.95304298400879,51.0552921295166,61.237247467041016,60.624380111694336
18694,36.47143363952637,46.24325752258301,59.3566780090332,54.24123191833496,57.567710876464844,53.05905532836914
18962,31.894229888916016,47.61111068725586,56.76823425292969,45.3874626159668,56.842308044433594,54.72817611694336
19033,35.576576232910156,47.24683380126953,55.58628463745117,45.85901641845703,58.96537780761719,54.30948257446289
19325,33.92845153808594,51.96950721740723,57.219194412231445,48.65573501586914,63.26018524169922,56.45284461975098
19401,36.31320571899414,53.79427719116211,61.60188674926758,54.13843536376953,64.4820785522461,63.578861236572266
